time,x,y,z,yaw,throttle,roll_rate,pitch_rate,yaw_rate,x_ref,y_ref,z_ref,yaw_ref,mpc_time,metadata
1.1920928955078125e-06,0.200314000248909,0.036241862922906876,0.0704059973359108,-0.0032972713900925044,-0.9750915857681678,-0.36685243774653864,-0.7999999998339193,0.7999999863826747,0.7999999999998579,4.7683715820309684e-07,-1.25,0.0,0.006645679473876953,Sim
0.009514093399047852,0.20054663717746735,0.03612174466252327,0.07072983682155609,-0.0033020209950587183,-0.9750915857766483,-0.3561521323915532,-0.7999999999954248,0.7999999996375029,0.7999909482197493,0.003805623006361192,-1.25,0.0,0.0024809837341308594,Horizon:3.0
0.019646167755126953,0.20078343152999878,0.03599654883146286,0.0710645467042923,-0.0033098711807491017,-0.9750915857652244,-0.3448835267237928,-0.7999999996445504,0.7999999864066342,0.7999614031196159,0.007858340721513144,-1.25,0.0,0.0014824867248535156,Num Steps:20
0.029487133026123047,0.20090804994106293,0.03614695370197296,0.07106911391019821,-0.003306335439781094,-0.9750915857764498,-0.335088143803265,-0.7999999999919539,0.7999999989589986,0.7999130524736091,0.011794425901806878,-1.25,0.0,0.0016798973083496094,No Pyjoules
0.03946352005004883,0.20080329477787018,0.0364132821559906,0.07075574994087219,-0.003291587080464175,-0.9750915857705498,-0.3223246170075924,-0.7999999998793581,0.7999999799816404,0.799844268111376,0.015784383718641198,-1.25,0.0,0.0016222000122070312,0
0.0497586727142334,0.20070956647396088,0.036664027720689774,0.07046584039926529,-0.0032885690167825388,-0.9750915857709729,-0.3004993009978618,-0.7999999997241869,0.7999999963018427,0.7997524202199732,0.019901415836455025,-1.25,0.0,0.0015692710876464844,0
0.059804439544677734,0.20062655210494995,0.0369001179933548,0.07019856572151184,-0.0032930129702157807,-0.9750915856120118,-0.2796522166912073,-0.7999999927063858,0.7998728469561875,0.7996423695499889,0.023918211063519722,-1.25,0.0,0.0014867782592773438,0
0.06950855255126953,0.20049461722373962,0.03733280301094055,0.0696754902601242,-0.0032880655061102715,-0.9750915857714131,-0.26034620404474734,-0.7999999998965064,0.799404408124124,0.7995169047411016,0.027797824253138433,-1.25,0.0,0.0020313262939453125,0
0.10168218612670898,0.20044350624084473,0.03752966970205307,0.06944786757230759,-0.0032754898810090083,-0.9750915857739949,0.40515230789274853,-0.7999999999439695,-0.7999999967056959,0.7989662959925148,0.040655354727283655,-1.25,0.0,0.003565549850463867,0
0.10951828956604004,0.2003300040960312,0.03820045292377472,0.0687498077750206,-0.003241428184101558,-0.9750915857690118,0.41135495490292395,-0.7999999998450719,-0.7999999915249976,0.7988008741079539,0.043785425935680626,-1.25,0.0,0.0015194416046142578,0
0.11960983276367188,0.20032355189323425,0.03833898901939392,0.06861144304275513,-0.003245865982014262,-0.9750915856043451,0.42308406663316567,-0.799999992012974,-0.7999999993689835,0.798569775148725,0.04781541821332182,-1.25,0.0,0.0015277862548828125,0
0.12955045700073242,0.2003261148929596,0.038467682898044586,0.06849265843629837,-0.0032374585733783157,-0.975091585728853,0.43354589386611475,-0.7999999977424477,-0.7999999997381183,0.7983222546600645,0.051783952287086356,-1.25,0.0,0.001651763916015625,0
0.1398022174835205,0.20033738017082214,0.03858691081404686,0.06839285045862198,-0.0032332755025077375,-0.9750915857725331,0.4451672531570149,-0.7999999997915753,-0.7999999999626136,0.7980463296893447,0.05587535833769426,-1.25,0.0,0.0020771026611328125,0
0.14951515197753906,0.20038586854934692,0.03879770636558533,0.06824833899736404,-0.0032460691550468823,-0.9750915857766099,0.45508354172471394,-0.7999999999870626,-0.7999999999433594,0.7977655628561058,0.059750370048065805,-1.25,0.0,0.0016934871673583984,0
0.15978312492370605,0.2004246860742569,0.038891129195690155,0.06820335239171982,-0.003249116742950697,-0.9750915857768007,0.46578399387640473,-0.7999999999965708,-0.7999999998517006,0.7974482929557859,0.06384528222118874,-1.25,0.0,0.002276897430419922,0
0.169708251953125,0.20047247409820557,0.03897843509912491,0.06817474216222763,-0.0032510755958594646,-0.9750915857768419,0.4759134009045076,-0.7999999999986984,-0.7999999999526143,0.7971216386140917,0.06780186762313727,-1.25,0.0,0.0018999576568603516,0
0.1799933910369873,0.2005331814289093,0.039062075316905975,0.06812994927167892,-0.003284988234327546,-0.9750915857768598,0.4853427134660818,-0.799999999999636,-0.7999999999888507,0.7967624240068482,0.07190020647210632,-1.25,0.0,0.0027265548706054688,0
0.1895296573638916,0.20071576535701752,0.039249688386917114,0.0678497850894928,-0.0035929171471709154,-0.9750915857768393,0.48299689428760595,-0.7999999999994933,-0.7999999999791573,0.7964105383298635,0.07569844408663294,-1.25,0.0,0.0022187232971191406,0
0.19968509674072266,0.2008441835641861,0.03936617448925972,0.06751954555511475,-0.003928306315926112,-0.9750915857768584,0.4882566179867464,-0.7999999999995915,-0.7999999999908798,0.796015897502818,0.07974140030613543,-1.25,0.0,0.0016710758209228516,0
0.2096548080444336,0.20099173486232758,0.039494603872299194,0.06703837960958481,-0.004453601122178075,-0.9750915857768564,0.49603404597003703,-0.7999999999995357,-0.7999999999902275,0.7956085097852289,0.08370841748191932,-1.25,0.0,0.0021736621856689453,0
0.2197248935699463,0.2011537402868271,0.039629846811294556,0.066391721367836,-0.00521041602567518,-0.9750915857768512,0.5045517983461717,-0.7999999999993459,-0.7999999999868874,0.7951769511292833,0.08771326235374804,-1.25,0.0,0.0017669200897216797,0
