time,x,y,z,yaw,throttle,roll_rate,pitch_rate,yaw_rate,x_ref,y_ref,z_ref,yaw_ref,pred_time,nr_time,metadata
9.5367431640625e-07,0.016461171209812164,-0.02318200282752514,1.0237034559249878,-0.016908074022948208,-0.7623009600592554,0.14529417188758315,-0.28720945246374313,0.006340494465122578,0.5557046850856209,0.22625716115493655,-0.8,0.0,0.24724864959716797,0.24849224090576172,Sim
0.24961400032043457,0.016461171209812164,-0.02318200282752514,1.0237034559249878,-0.016908074022948208,-0.8064510857489384,0.28455603592017076,-0.4410466167246202,0.010778877637113677,0.5244352101064583,0.29149221327609237,-0.8,0.0,0.0006799697875976562,0.0009648799896240234,Jax
0.2597951889038086,0.015202091075479984,-0.02025105245411396,1.0402135848999023,-0.017294939121211998,-0.8413606584314428,0.377851340326682,-0.5487326317072342,0.014030823974021498,0.522994494002427,0.2940693102708022,-0.8,0.0,0.0005352497100830078,0.0008213520050048828,1stOrderHold
0.27077627182006836,0.015084359794855118,-0.020072052255272865,1.043293833732605,-0.017316955982540735,-0.8695835678040482,0.43652946167806844,-0.616685051712254,0.01631542710412271,0.5214263923890919,0.2968408956328234,-0.8,0.0,0.0007147789001464844,0.0011074542999267578,QuatYawError
0.2797389030456543,0.015023638494312763,-0.019981112331151962,1.0449116230010986,-0.017307658143261642,-0.8915836926483542,0.4691770133145594,-0.6440639116315229,0.017911171412471765,0.5201356379973352,0.2990968373037484,-0.8,0.0,0.0005667209625244141,0.0008466243743896484,NoPyJoules
0.289914608001709,0.014961976557970047,-0.019889390096068382,1.0465797185897827,-0.01731113655992552,-0.908838420750598,0.4841072653666869,-0.6447686585069815,0.019029493518250423,0.5186583528129548,0.3016513103856048,-0.8,0.0,0.0005621910095214844,0.0008714199066162109,0
0.2997574806213379,0.014899362809956074,-0.019796565175056458,1.0482966899871826,-0.017329335543249627,-0.922432565457347,0.487511255726981,-0.6294572771669172,0.019819152854771527,0.5172174505358427,0.30411528876595983,-0.8,0.0,0.0005507469177246094,0.0008437633514404297,0
0.309924840927124,0.014839441515505314,-0.019701404497027397,1.0499516725540161,-0.01736343800192265,-0.9331791056190584,0.4836869497430651,-0.604771112210225,0.020384702533999523,0.5157167560727024,0.3066532691915232,-0.8,0.0,0.0005335807800292969,0.0008244514465332031,0
0.3197910785675049,0.014787083491683006,-0.019470788538455963,1.052998661994934,-0.017372776120815815,-0.9416965177017161,0.47276886264079615,-0.5711188204713259,0.020784084045057608,0.5142486007897422,0.3091090043751432,-0.8,0.0,0.0005905628204345703,0.0008840560913085938,0
0.329967737197876,0.014860810711979866,-0.01929616928100586,1.0505794286727905,-0.017358336656679314,-0.9484606294731097,0.4582393200605907,-0.5340310314723054,0.021058238201278383,0.5127220021049946,0.3116346395339355,-0.8,0.0,0.0005328655242919922,0.0008141994476318359,0
0.33977270126342773,0.014964367263019085,-0.019104598090052605,1.0480090379714966,-0.01732069214368646,-0.9538406600647763,0.44132894320317484,-0.49534050696054377,0.021236026919628958,0.5112394280469047,0.31406089729584885,-0.8,0.0,0.0005617141723632812,0.0008602142333984375,0
0.3501768112182617,0.01525021716952324,-0.018686477094888687,1.0422918796539307,-0.017188921653901283,-0.9565881280139735,0.4174531416097413,-0.4478498332090609,0.021311068570497305,0.5096537049620912,0.3166277009650509,-0.8,0.0,0.0005574226379394531,0.0008549690246582031,0
0.35994505882263184,0.015433285385370255,-0.01845984160900116,1.0390853881835938,-0.017092623369495127,-0.9575833917882649,0.39334171191942774,-0.4023130106575532,0.02132748197503301,0.5081531651074062,0.31903034462465346,-0.8,0.0,0.0005710124969482422,0.0008597373962402344,0
0.3698592185974121,0.015433285385370255,-0.01845984160900116,1.0390853881835938,-0.017092623369495127,-0.9578443914206932,0.3761524688694621,-0.368486391880069,0.021338972329267476,0.5066186296029462,0.32146160601109547,-0.8,0.0,0.0005500316619873047,0.0008563995361328125,0
0.3798024654388428,0.015890294685959816,-0.01796160638332367,1.031783938407898,-0.016928777641801798,-0.956272353665726,0.35049026788228477,-0.324376838351512,0.02128557581572527,0.5050679084421092,0.323892586920283,-0.8,0.0,0.0004942417144775391,0.0007688999176025391,0
0.3900718688964844,0.016169562935829163,-0.01768987625837326,1.027657151222229,-0.01684293137373557,-0.9537315179678801,0.32611854667246953,-0.2834863346584891,0.021215999726868832,0.5034540761677687,0.3263954552227382,-0.8,0.0,0.0005419254302978516,0.0008251667022705078,0
0.39980173110961914,0.01684926077723503,-0.0170897226780653,1.0184756517410278,-0.016697901484714808,-0.9496310564142213,0.2955537049018492,-0.23554860729216093,0.021112905795305774,0.5019135893705955,0.3287594086944513,-0.8,0.0,0.000579833984375,0.0008952617645263672,0
0.4098193645477295,0.01684926077723503,-0.0170897226780653,1.0184756517410278,-0.016697901484714808,-0.9457576915564453,0.27638259355811273,-0.2038332897592031,0.021040751063288933,0.5003159442868849,0.3311856818951005,-0.8,0.0,0.0005044937133789062,0.0007803440093994141,0
0.41977477073669434,0.017713263630867004,-0.016387321054935455,1.0080243349075317,-0.01655340814616724,-0.9406050203326529,0.2499683763532115,-0.16389033180715648,0.02093605532957022,0.49871660377209637,0.33358919215410116,-0.8,0.0,0.0005323886871337891,0.0008234977722167969,0
0.430004358291626,0.018224820494651794,-0.015986112877726555,1.002320408821106,-0.01646417544500413,-0.9351399701948976,0.22682190310653322,-0.12893256899866617,0.020829302792588263,0.49706118854764597,0.3360508515680351,-0.8,0.0,0.0005784034729003906,0.0009200572967529297,0
