time,x,y,z,yaw,throttle,roll_rate,pitch_rate,yaw_rate,x_ref,y_ref,z_ref,yaw_ref,pred_time,nr_time,ctrl_callback_time,metadata
3.0994415283203125e-06,-0.057005416601896286,-0.14458099007606506,-0.23863983154296875,-0.11264823849354298,-0.4962748498301708,0.06459513480129248,-0.040444548151818374,0.042243089435109654,0.0,0.0,-0.6,0.0,0.0018863677978515625,0.003311634063720703,0.006598711013793945,Hardware
0.013345003128051758,-0.05699758604168892,-0.1445760577917099,-0.23863010108470917,-0.11264082537369464,-0.5046956649237737,0.10691777149253956,-0.07114766918171596,0.07181047211968268,0.0,0.0,-0.6,0.0,0.001184701919555664,0.0021271705627441406,0.005014181137084961,Nonlinear
0.021404027938842773,-0.056988008320331573,-0.14457160234451294,-0.2386166751384735,-0.11261415148778113,-0.5114649760653613,0.13340388990421617,-0.09385675538997029,0.09249763729176483,0.0,0.0,-0.6,0.0,0.00115203857421875,0.002050638198852539,0.004523038864135742,2x Speed
0.03070235252380371,-0.0569855198264122,-0.1445673704147339,-0.23860467970371246,-0.11262176999309025,-0.5169090036343662,0.14902277872434264,-0.11009997931122407,0.10698150985162974,0.0,0.0,-0.6,0.0,0.0016944408416748047,0.0027456283569335938,0.0063648223876953125,0OrderHold
0.04041433334350586,-0.05698742717504501,-0.14456331729888916,-0.23858927190303802,-0.11263700801970059,-0.5213009282683281,0.15792697506632722,-0.12103879078531143,0.1171259349035536,0.0,0.0,-0.6,0.0,0.001922607421875,0.0032367706298828125,0.0063703060150146484,QuatYawError
0.05020260810852051,-0.05698408931493759,-0.1445612758398056,-0.23859688639640808,-0.11260399752630956,-0.5248468388111038,0.16187356426376318,-0.12740189608551897,0.1242146535048588,0.0,0.0,-0.6,0.0,0.000995635986328125,0.0018274784088134766,0.003945589065551758,NoPyJoules
0.06017947196960449,-0.05697103962302208,-0.1445648968219757,-0.2386029213666916,-0.11250611549147825,-0.527693980994287,0.1641910577437212,-0.13158540114067102,0.12914005076270058,0.0,0.0,-0.6,0.0,0.0014507770538330078,0.0024061203002929688,0.004837512969970703,0
0.07051444053649902,-0.05696382746100426,-0.14457616209983826,-0.23861293494701385,-0.1124138339513724,-0.5299196649494916,0.16348739661082584,-0.1340570238058737,0.13255322326565164,0.0,0.0,-0.6,0.0,0.0017421245574951172,0.002954244613647461,0.005953788757324219,0
0.08052229881286621,-0.056956011801958084,-0.1445789784193039,-0.23864321410655975,-0.11214098342382386,-0.5316464988078086,0.16349190669642424,-0.1355955673493889,0.1348401250698878,0.0,0.0,-0.6,0.0,0.0018429756164550781,0.0031290054321289062,0.006235361099243164,0
0.09137487411499023,-0.05696459859609604,-0.14460936188697815,-0.23868080973625183,-0.11192353519065558,-0.5330276546322726,0.16239508539672767,-0.13633786627007283,0.13635941324541578,0.0,0.0,-0.6,0.0,0.0016813278198242188,0.002863168716430664,0.0060770511627197266,0
0.10130023956298828,-0.05697066709399223,-0.14464053511619568,-0.23871801793575287,-0.11189097512645683,-0.5341382133080793,0.16209357320019685,-0.1381332506976649,0.13741070494421131,0.0,0.0,-0.6,0.0,0.0016198158264160156,0.0028655529022216797,0.005884885787963867,0
0.11167454719543457,-0.056961484253406525,-0.14466309547424316,-0.23875530064105988,-0.11198770444145806,-0.5350098241059961,0.16190483442421394,-0.13752311528237313,0.13818288262649392,0.0,0.0,-0.6,0.0,0.0016024112701416016,0.0025987625122070312,0.005539417266845703,0
